Program,Gender,Age,Organization,Parents,Food_Lodging,Transport,Entertainment,CellCost,Sleep,SocialMedia,StudyHours,WorkHours,Traveled_Outside,Tuition,Coffee_Daily,Height (cm),Weight (kg),Prev_Monthly_Salary,Expected_Monthly_Salary,BMI
Babi,Male,33.0,. Small Company,No,1500.0,60.0,50.0,115.0,7.0,25.0,20.0,38.0,Yes,Yes,1.0,167.0,64.0,3000.0,4500.0,22.948115744558788
Babi,Male,23.0,. Non-profit or Government Agency,No,1000.0,150.0,100.0,45.0,7.0,10.0,14.0,0.0,Yes,No,1.0,182.0,79.0,0.0,2000.0,23.849776597029344
Mtkg,Female,26.0,. Non-profit or Government Agency,No,1200.0,300.0,10.0,30.0,6.5,10.0,10.0,6.0,Yes,Yes,2.0,152.4,54.54,3100.0,3300.0,23.482546965093928
Bba,Male,22.0,. Large Corporation,No,500.0,0.0,100.0,86.0,7.0,11.0,5.0,24.0,Yes,No,4.0,176.784,74.0,0.0,3000.0,23.67804312831509
Mktg,Female,20.0,. Large Corporation,Yes,800.0,160.0,40.0,90.0,7.0,8.0,12.0,20.0,Yes,No,0.0,168.0,74.84,0.0,5000.0,26.51643990929706
Exchange,Male,23.0,. Small Company,Yes,900.0,0.0,50.0,55.0,6.0,21.0,20.0,0.0,Yes,No,0.0,183.0,71.0,7000.0,6500.0,21.20099137030069
Mktg,Female,27.0,. Non-profit or Government Agency,No,3000.0,150.0,,50.0,9.0,8.0,12.0,0.0,Yes,Yes,1.0,164.0,50.0,0.0,5000.0,18.590124925639504
Bmgt,Male,21.0,. Small Company,Yes,3900.0,700.0,0.0,80.0,8.0,0.0,40.0,0.0,Yes,No,0.0,178.0,66.0,0.0,3300.0,20.830703194041156
Babi,Female,24.0,. Large Corporation,Yes,200.0,0.0,20.0,0.0,8.0,30.0,25.0,8.0,Yes,Yes,0.0,161.0,57.0,0.0,4000.0,21.98989236526368
Mmgt,Female,29.0,. Large Corporation,No,1500.0,50.0,150.0,69.0,6.0,21.0,35.0,0.0,Yes,Yes,0.0,162.0,70.0,3500.0,2600.0,26.672763298277697
Babi,Male,23.0,. Small Company,Yes,60.0,90.0,75.0,50.0,7.0,5.0,10.0,8.0,Yes,Yes,0.0,185.0,93.0,3700.0,3200.0,27.173119065010955
Mktg,Male,24.0,. Large Corporation,Yes,700.0,750.0,150.0,117.0,7.0,10.0,18.0,8.0,Yes,No,1.0,170.0,81.0,5500.0,3500.0,28.027681660899656
Mktg,Male,23.0,. Large Corporation,Yes,750.0,50.0,30.0,34.0,6.0,32.0,8.0,30.0,Yes,Yes,1.0,170.0,57.0,3000.0,5000.0,19.723183391003463
Babi,Male,21.0,. Large Corporation,Yes,100.0,100.0,30.0,0.0,7.5,20.0,4.0,5.0,Yes,No,0.5,183.0,71.0,4000.0,5000.0,21.20099137030069
Bmgt,Male,20.0,. Large Corporation,Yes,300.0,150.0,100.0,70.0,7.0,10.0,15.0,16.0,Yes,No,1.0,178.0,84.0,3000.0,6000.0,26.511804065143288
Bbad,Female,22.0,. Large Corporation,No,1.0,0.0,200.0,50.0,7.0,15.0,10.0,12.0,Yes,Yes,2.0,172.0,57.0,0.0,4000.0,19.2671714440238
Babi,Male,20.0,. Large Corporation,No,1400.0,0.0,300.0,39.0,8.0,7.0,3.0,15.0,Yes,No,1.0,172.0,64.0,0.0,5000.0,21.63331530557058
Babi,Female,29.0,. Large Corporation,Yes,150.0,0.0,300.0,25.0,7.0,14.0,24.0,25.0,Yes,No,0.5,165.0,62.0,3200.0,5000.0,22.77318640955005
Bmgt,Male,22.0,. Small Company,Yes,300.0,100.0,100.0,0.0,8.0,24.0,10.0,0.0,Yes,No,1.0,188.0,72.0,3200.0,5000.0,20.37120869171571
Bmgt,Female,19.0,. Small Company,Yes,1000.0,110.0,200.0,35.0,5.0,12.0,12.0,20.0,Yes,No,1.0,182.0,55.0,0.0,5500.0,16.604274846033086
Bmgt,Female,22.0,. Large Corporation,Yes,750.0,400.0,200.0,100.0,8.0,3.0,4.0,16.0,Yes,Yes,2.0,157.0,55.0,0.0,2000.0,22.313278429145196
Bitman,Female,23.0,. Small Company,Yes,300.0,68.0,12.0,0.0,6.0,4.0,21.0,0.0,Yes,Yes,0.0,157.0,73.0,0.0,5447.0,29.61580591504726
