Program,Gender,Age,Organization,Parents,Food_Lodging,Transport,Entertainment,CellCost,Sleep,SocialMedia,StudyHours,WorkHours,Traveled_Outside,Tuition,Coffee_Daily,Height (cm),Weight (kg),Prev_Monthly_Salary,Expected_Monthly_Salary,BMI
Bmgt,Male,20.0,. Small Company,Yes,300.0,100.0,100.0,50.0,6.0,12.0,15.0,0.0,Yes,No,2.0,182.0,80.0,0.0,3750.0,24.151672503320853
Bmgt,Female,23.0,. Other,Yes,1500.0,200.0,100.0,90.0,6.0,18.0,84.0,6.0,Yes,Yes,2.0,170.0,69.0,2500.0,4500.0,23.87543252595156
Bmgt,Male,26.0,. Large Corporation,Yes,450.0,160.0,40.0,60.0,6.0,2.0,7.0,6.5,Yes,Yes,4.0,190.0,77.0,3000.0,6200.0,21.329639889196677
Bmgt,Female,19.0,. Large Corporation,Yes,150.0,380.0,,0.0,8.0,3.0,30.0,20.0,Yes,Yes,1.0,170.6,70.4,3800.0,4750.0,24.188815696342406
Bmgt,Male,19.0,. Small Company,Yes,0.0,150.0,150.0,55.0,7.0,10.0,20.0,5.0,Yes,No,1.0,188.0,69.0,2000.0,3500.0,19.52240832956089
Bmgt,Female,19.0,. Large Corporation,No,1100.0,0.0,120.0,45.0,6.0,8.0,12.0,0.0,Yes,Yes,0.0,168.0,62.3,0.0,3200.0,22.0734126984127
Bmgt,Female,26.0,. Large Corporation,No,800.0,100.0,500.0,48.0,8.0,22.0,60.0,0.0,Yes,No,0.0,165.0,48.0,0.0,3000.0,17.63085399449036
Hrmg,Female,27.0,. Other,No,,10.0,10.0,85.0,8.0,3.0,6.0,0.0,Yes,No,2.0,175.0,74.0,3600.0,4500.0,24.163265306122447
Bmgt,Female,24.0,. Large Corporation,No,12000.0,500.0,3000.0,140.0,7.0,3.0,5.0,0.0,Yes,No,0.0,162.0,99.0,0.0,5000.0,37.722908093278456
Bmgt,Male,20.0,. Non-profit or Government Agency,Yes,0.0,100.0,100.0,80.0,7.0,4.0,12.0,0.0,Yes,No,1.0,180.0,70.0,2500.0,4500.0,21.604938271604937
Babi,Female,33.0,. Large Corporation,No,2500.0,70.0,250.0,120.0,7.0,1.0,0.0,40.0,No,Yes,0.0,167.0,70.0,4000.0,4000.0,25.099501595611173
